package,owner_decision,constraint,initial_decision,source,repository_or_credential_risk,notes,confirmation_needed
aheadworks/module-reward-points,,^2.5,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
aheadworks/module-reward-points-graph-ql,,^1.0,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/adminactionslog,,^2.6,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/advanced-review-graphql,,^1.0,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/checkout-graph-ql,,^1.2,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-admin-actions-log-subscription-package,,^2.6,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-advanced-review-lite,,^1.17,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-customer-attributes-lite,,^2.5,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-free-gift-lite-package,,^1.6,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-groupcat-subscription-package,,^2.1,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-grouped-options,,^1.0,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-hide-price,,^1.8,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-improved-layered-navigation-page,,^3.0,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-mage-248-fix,,^1.0,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-one-step-checkout-core,,^1.4,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-one-step-checkout-pro-package,,^2.7,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-optimizer-pro,,^3.7,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-promo-banners,,^1.16,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-shipping-suite,,^1.2,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-shipping-suite-pro-subscription-package,,^1.2,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-shop-by-brand-graphql,,^1.1,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-shopby-pro,,^4.1,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-single-step-checkout,,^4.4,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-special-promo-pro,,^2.17,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-special-promotions-lite-package,,^2.15,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/module-visual-merchandiser,,^2.1,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/mostviewed,,^2.22,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/number,,^1.1,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/product-attachment-lite,,^3.5,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/promo,,^2.17,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/shiprestriction,,^2.8,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/shopby-graphql,,^1.0,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
amasty/store-credit,,^1.4,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
bcncommerce/json-stream,,^0.4.2,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
blackfire/php-sdk,,^2.3,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
box/spout,,~2.7,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
creativestyle/magesuite-magepack,,^1.1,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
cweagans/composer-patches,,^1.7,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
d4h/finediff,,^1.0,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
dompdf/dompdf,,^2.0,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
firebear/importexport,,^3.8,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","Yes - legacy composer.json uses embedded Firebear repository credentials; coordinate ECOM-59 before any clean baseline.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
firebear/importexport-msi,,^1.1,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","Yes - legacy composer.json uses embedded Firebear repository credentials; coordinate ECOM-59 before any clean baseline.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
google/apiclient,,^2.17,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
guzzlehttp/psr7,,^2.7,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
league/oauth2-client,,^2.7,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
magento/composer-dependency-version-audit-plugin,,~0.1,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","Private repo may require repo.magento.com auth, but no credentials should be committed.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
magento/composer-root-update-plugin,,^2.0.4,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","Private repo may require repo.magento.com auth, but no credentials should be committed.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
magento/product-community-edition,,2.4.8-p4,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","Private repo may require repo.magento.com auth, but no credentials should be committed.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
magento/quality-patches,,^1.1,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","Private repo may require repo.magento.com auth, but no credentials should be committed.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mageplaza/magento-2-blog-extension,,*,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review. Constraint is unbounded in legacy composer.json.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mageplaza/module-cron-schedule,,^4.0,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
