namespace,module_dir,magento_module,owner_decision,path,file_count,initial_decision,source,notes,confirmation_needed
Bss,ConfiguableGridView,Bss_ConfiguableGridView,Remove,vusa244/app/code/Bss/ConfiguableGridView,65,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Cminds,Salesrep,Cminds_Salesrep,Keep,vusa244/app/code/Cminds/Salesrep,157,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Firebear,FirebearExtended,Firebear_FirebearExtended,Keep,vusa244/app/code/Firebear/FirebearExtended,23,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Makewebbetter,HubIntegration,Makewebbetter_HubIntegration,Remove,vusa244/app/code/Makewebbetter/HubIntegration,160,Remove,"legacy repo scan; ECOM-20 ticket","Known remove/theme/dead integration candidate unless backend/admin behavior is explicitly justified.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Omnisend,Omnisend,Omnisend_Omnisend,Keep,vusa244/app/code/Omnisend/Omnisend,243,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Rootways,Authorizecim,Rootways_Authorizecim,Keep,vusa244/app/code/Rootways/Authorizecim,163,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
VUSA,AuthorizePayments,VUSA_AuthorizePayments,Keep,vusa244/app/code/VUSA/AuthorizePayments,7,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
VUSA,DecreaseStock,VUSA_DecreaseStock,Keep,vusa244/app/code/VUSA/DecreaseStock,5,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
VUSA,EnhancedEmail,VUSA_EnhancedEmail,Keep,vusa244/app/code/VUSA/EnhancedEmail,4,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
VUSA,ExportOrder,VUSA_ExportOrder,Keep,vusa244/app/code/VUSA/ExportOrder,5,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
